Object Designation,Date (yyyy-mm-dd.dd),Impact Probability,Impact Energy (Mt),Palermo Scale,Torino Scale,Number,Mass (kg),Diameter (km),Absolute magnitude (H)
(2007 FT3),2105-10-04.45,0.000000012,2741,-5.56,0,bK07F03T,54000000000,0.341,20
(2007 WP3),2105-11-12.31,0.00000082,14.02,-5.56,0,bK07W03P,400000000,0.067,23.5
(2000 WJ107),2114-11-19.98,0.00000058,23.92,-5.57,0,bK00WA7J,700000000,0.081,23.1
(2007 FT3),2080-10-03.04,0.0000000084,2600,-5.58,0,bK07F03T,54000000000,0.341,20
(2008 EX5),2068-10-08.98,0.00000069,7.153,-5.6,0,bK08E05X,270000000,0.059,23.8
(2008 UB7),2070-11-01.43,0.00000041,14.59,-5.61,0,bK08U07B,260000000,0.058,23.8
(2007 FT3),2095-10-03.91,0.0000000094,2714,-5.61,0,bK07F03T,54000000000,0.341,20
(2000 WJ107),2114-11-19.99,0.00000051,24.05,-5.62,0,bK00WA7J,700000000,0.081,23.1
(2011 KF36),2024-10-26.55,1.5E-10,2149,-5.63,0,bK11K36F,28000000000,0.275,20.5
(2007 WP3),2098-11-11.51,0.00000063,14,-5.63,0,bK07W03P,400000000,0.067,23.5
(2002 RB182),2118-09-24.32,0.00000031,45.2,-5.64,0,bK02RI2B,1100000000,0.092,22.8
(2008 UB7),2075-11-01.60,0.00000042,14.44,-5.64,0,bK08U07B,260000000,0.058,23.8
(2002 MN),2109-06-15.88,0.00000069,14.45,-5.64,0,bK02M00N,530000000,0.073,23.3
(2014 JU79),2046-09-18.57,0.00000014,19.92,-5.65,0,bK14J79U,1100000000,0.092,22.8
(2007 FT3),2062-10-03.57,0.0000000045,2695,-5.67,0,bK07F03T,54000000000,0.341,20
(2023 RH2),2121-09-13.28,0.00000063,17.4,-5.68,0,bK23R02H,240000000,0.056,23.9
(2007 FT3),2091-10-03.80,0.0000000076,2583,-5.7,0,bK07F03T,54000000000,0.341,20
(2022 KV6),2070-05-27.42,0.00000025,19.96,-5.71,0,bK22K06V,220000000,0.055,24
(2002 RB182),2076-10-06.47,0.00000016,37.95,-5.73,0,bK02RI2B,1100000000,0.092,22.8
(2008 UB7),2056-10-31.69,0.00000022,14.44,-5.73,0,bK08U07B,260000000,0.058,23.8
(2012 ES10),2059-03-05.46,0.00000014,25.48,-5.74,0,bK12E10S,300000000,0.061,23.7
(2022 MK1),2111-07-20.98,0.0000015,4.363,-5.74,0,bK22M01K,220000000,0.055,24
