Object Designation,Date (yyyy-mm-dd.dd),Impact Probability,Impact Energy (Mt),Palermo Scale,Torino Scale,Number,Mass (kg),Diameter (km),Absolute magnitude (H)
(2011 VG9),2104-11-03.87,0.00000032,227.1,-4.99,0,bK11V09G,2600000000,0.12,22.2
(2020 FA5),2077-10-29.48,0.000000056,1216,-4.99,0,bK20F05A,12000000000,0.21,21.1
(1996 TC1),2067-09-26.20,0.0000012,18.91,-5,0,bJ96T01C,230000000,0.055,23.9
(2024 HJ),2099-04-24.77,0.00000006,1512,-5.03,0,bK24H00J,13000000000,0.21,21
(2004 GE2),2106-05-03.08,0.00000015,512.6,-5.05,0,bK04G02E,7900000000,0.18,22.7
(2008 UB7),2086-11-01.27,0.000002,14.26,-5.05,0,bK08U07B,260000000,0.058,23.8
(2007 KO4),2030-11-23.72,0.00000015,24.18,-5.05,0,bK07K04O,580000000,0.076,23.3
(2008 UB7),2070-11-01.41,0.0000015,14.42,-5.06,0,bK08U07B,260000000,0.058,23.8
(2002 RB182),2076-10-06.16,0.0000007,38.05,-5.09,0,bK02RI2B,1100000000,0.092,22.8
(2012 ES10),2059-03-05.45,0.00000063,25.49,-5.09,0,bK12E10S,300000000,0.061,23.7
(2007 FT3),2067-10-03.87,0.000000018,2725,-5.12,0,bK07F03T,54000000000,0.341,20
(2007 KO4),2046-11-23.91,0.00000046,20.98,-5.12,0,bK07K04O,580000000,0.076,23.3
(2023 TB2),2123-09-02.04,0.000006,5.288,-5.12,0,bK23T02B,260000000,0.058,23.8
(2002 RB182),2108-10-12.18,0.0000011,35.3,-5.13,0,bK02RI2B,1100000000,0.092,22.8
(2007 FT3),2091-10-03.81,0.000000028,2588,-5.13,0,bK07F03T,54000000000,0.341,20
(2009 BR5),2078-07-19.28,0.00000021,152.1,-5.15,0,bK09B05R,2900000000,0.13,22.1
(2002 RB182),2076-10-06.47,0.0000006,37.72,-5.16,0,bK02RI2B,1100000000,0.092,22.8
(2007 FT3),2056-10-03.13,0.000000012,2762,-5.16,0,bK07F03T,54000000000,0.341,20
(2007 KO4),2038-11-23.83,0.00000026,22.29,-5.16,0,bK07K04O,580000000,0.076,23.3
101955 Bennu (1999 RQ36),2185-09-24.33,0.0000001,1421,-5.16,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2189-09-24.47,0.0000001,1422,-5.17,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2189-09-24.40,0.0000001,1422,-5.17,,a0101955,74000000000,0.49,20.6
101955 Bennu (1999 RQ36),2189-09-24.32,0.0000001,1422,-5.17,,a0101955,74000000000,0.49,20.6
